Run1:
Estimate of Posterior Sizes:
Marginal Association Size:
0: 0.164, 1: 0.324, 2: 0.282, 3: 0.152, 4: 0.057, 5: 0.016, 6: 0.004, 7: 0.001, 8: 0.000, 9: 0.000, 10: 0.000, 11: 0.000, 
Interaction Association Size:
0: 1.000, 
Metropolis-Hastings Acceptance Rates:
burnin: 0.110,	move0= 0.089,	move1= 0.108,	move2= 0.095,	
---------------------------------------------------
1791 :	 B-stat = 20.171441	 P = 0.393576
5936 :	 B-stat = 12.902996	 P = 1.000000
6240 :	 B-stat = 2.450436	 P = 1.000000
2985 :	 B-stat = 1.125619	 P = 1.000000
7622 :	 B-stat = 8.862745	 P = 1.000000
4213 :	 B-stat = 2.673859	 P = 1.000000
8299 :	 B-stat = 0.187690	 P = 1.000000
5851 :	 B-stat = 4.974158	 P = 1.000000
7275 :	 B-stat = 6.321343	 P = 1.000000
1540 :	 B-stat = 14.593123	 P = 1.000000
1819 :	 B-stat = 4.879096	 P = 1.000000
1274 :	 B-stat = 10.366935	 P = 1.000000
9423 :	 B-stat = 15.095441	 P = 1.000000
2937 :	 B-stat = 29.011106	 P = 0.004737
6793 :	 B-stat = 13.277009	 P = 1.000000
3049 :	 B-stat = 0.704778	 P = 1.000000
1592 :	 B-stat = 13.411464	 P = 1.000000
5943 :	 B-stat = 12.891117	 P = 1.000000
4285 :	 B-stat = 12.403811	 P = 1.000000
6840 :	 B-stat = 12.802526	 P = 1.000000
1987 :	 B-stat = 0.030934	 P = 1.000000
794 :	 B-stat = 0.806140	 P = 1.000000
4931 :	 B-stat = 12.267490	 P = 1.000000
3418 :	 B-stat = 0.676972	 P = 1.000000
7114 :	 B-stat = 0.622227	 P = 1.000000
8138 :	 B-stat = 11.562677	 P = 1.000000
412 :	 B-stat = 5.310253	 P = 1.000000
5458 :	 B-stat = 5.095158	 P = 1.000000
3042 :	 B-stat = 2.588113	 P = 1.000000
6377 :	 B-stat = 11.017819	 P = 1.000000
7663 :	 B-stat = 2.063110	 P = 1.000000
8434 :	 B-stat = 10.851396	 P = 1.000000
7010 :	 B-stat = 7.711900	 P = 1.000000
3340 :	 B-stat = 10.353921	 P = 1.000000
5660 :	 B-stat = 10.574032	 P = 1.000000
1194 :	 B-stat = 11.943529	 P = 1.000000
5180 :	 B-stat = 9.069835	 P = 1.000000
2700 :	 B-stat = 6.369372	 P = 1.000000
449 :	 B-stat = 1.359349	 P = 1.000000
7651 :	 B-stat = 0.178966	 P = 1.000000
8180 :	 B-stat = 1.897873	 P = 1.000000
6759 :	 B-stat = 8.887785	 P = 1.000000
1923 :	 B-stat = 10.969419	 P = 1.000000
4222 :	 B-stat = 9.505189	 P = 1.000000
5224 :	 B-stat = 9.951656	 P = 1.000000
4919 :	 B-stat = 9.736061	 P = 1.000000
6400 :	 B-stat = 3.988048	 P = 1.000000
6076 :	 B-stat = 10.929806	 P = 1.000000
4254 :	 B-stat = 8.948115	 P = 1.000000
7381 :	 B-stat = 9.529047	 P = 1.000000
9277 :	 B-stat = 9.850982	 P = 1.000000
1598 :	 B-stat = 9.994985	 P = 1.000000
1646 :	 B-stat = 6.026286	 P = 1.000000
8601 :	 B-stat = 1.358591	 P = 1.000000
5681 :	 B-stat = 0.418314	 P = 1.000000
4496 :	 B-stat = 9.056208	 P = 1.000000
7567 :	 B-stat = 0.014363	 P = 1.000000
756 :	 B-stat = 12.916518	 P = 1.000000
5682 :	 B-stat = 3.967252	 P = 1.000000
465 :	 B-stat = 4.971761	 P = 1.000000
4690 :	 B-stat = 4.080251	 P = 1.000000
6792 :	 B-stat = 8.724400	 P = 1.000000
8796 :	 B-stat = 8.854789	 P = 1.000000
486 :	 B-stat = 5.112479	 P = 1.000000
4970 :	 B-stat = 8.979079	 P = 1.000000
8639 :	 B-stat = 8.280819	 P = 1.000000
4716 :	 B-stat = 3.440007	 P = 1.000000
5661 :	 B-stat = 5.753869	 P = 1.000000
6113 :	 B-stat = 2.810249	 P = 1.000000
3172 :	 B-stat = 4.950172	 P = 1.000000
1854 :	 B-stat = 1.803292	 P = 1.000000
4497 :	 B-stat = 8.644068	 P = 1.000000
3464 :	 B-stat = 2.752577	 P = 1.000000
6097 :	 B-stat = 9.448298	 P = 1.000000
5791 :	 B-stat = 7.790425	 P = 1.000000
7736 :	 B-stat = 16.749621	 P = 1.000000
2110 :	 B-stat = 8.207645	 P = 1.000000
6170 :	 B-stat = 3.387134	 P = 1.000000
8166 :	 B-stat = 8.263351	 P = 1.000000
5932 :	 B-stat = 3.449923	 P = 1.000000
7672 :	 B-stat = 8.789495	 P = 1.000000
6784 :	 B-stat = 9.504553	 P = 1.000000
2091 :	 B-stat = 8.948337	 P = 1.000000
3937 :	 B-stat = 8.043122	 P = 1.000000
8888 :	 B-stat = 7.784389	 P = 1.000000
6799 :	 B-stat = 8.626195	 P = 1.000000
4265 :	 B-stat = 7.917407	 P = 1.000000
8495 :	 B-stat = 8.352363	 P = 1.000000
7303 :	 B-stat = 8.049209	 P = 1.000000
1122 :	 B-stat = 3.937469	 P = 1.000000
2362 :	 B-stat = 6.987777	 P = 1.000000
7658 :	 B-stat = 8.130863	 P = 1.000000
1576 :	 B-stat = 7.713602	 P = 1.000000
2666 :	 B-stat = 7.877748	 P = 1.000000
4525 :	 B-stat = 12.950219	 P = 1.000000
4066 :	 B-stat = 8.133490	 P = 1.000000
7302 :	 B-stat = 8.809947	 P = 1.000000
1332 :	 B-stat = 7.017483	 P = 1.000000
5790 :	 B-stat = 7.720139	 P = 1.000000
8895 :	 B-stat = 7.447405	 P = 1.000000
7313 :	 B-stat = 8.288034	 P = 1.000000
2846 :	 B-stat = 7.233838	 P = 1.000000
3071 :	 B-stat = 4.005472	 P = 1.000000
2097 :	 B-stat = 7.373513	 P = 1.000000
3538 :	 B-stat = 4.740198	 P = 1.000000
4680 :	 B-stat = 8.190484	 P = 1.000000
2817 :	 B-stat = 7.376893	 P = 1.000000
6948 :	 B-stat = 6.360670	 P = 1.000000
4243 :	 B-stat = 8.061559	 P = 1.000000
4905 :	 B-stat = 7.541198	 P = 1.000000
8903 :	 B-stat = 7.962134	 P = 1.000000
8948 :	 B-stat = 7.372634	 P = 1.000000
6772 :	 B-stat = 4.249316	 P = 1.000000
6472 :	 B-stat = 7.391229	 P = 1.000000
6351 :	 B-stat = 1.794065	 P = 1.000000
3587 :	 B-stat = 13.556903	 P = 1.000000
8917 :	 B-stat = 7.516571	 P = 1.000000
6459 :	 B-stat = 6.825245	 P = 1.000000
7154 :	 B-stat = 4.811133	 P = 1.000000
1267 :	 B-stat = 4.753215	 P = 1.000000
1371 :	 B-stat = 6.137067	 P = 1.000000
6019 :	 B-stat = 1.086013	 P = 1.000000
701 :	 B-stat = 0.603372	 P = 1.000000
8330 :	 B-stat = 0.254522	 P = 1.000000
1577 :	 B-stat = 8.438103	 P = 1.000000
5792 :	 B-stat = 7.799618	 P = 1.000000
661 :	 B-stat = 8.908754	 P = 1.000000
2033 :	 B-stat = 2.512658	 P = 1.000000
6824 :	 B-stat = 7.636147	 P = 1.000000
6394 :	 B-stat = 4.145344	 P = 1.000000
3969 :	 B-stat = 8.023357	 P = 1.000000
679 :	 B-stat = 9.383607	 P = 1.000000
8647 :	 B-stat = 7.845080	 P = 1.000000
4499 :	 B-stat = 7.328082	 P = 1.000000
6318 :	 B-stat = 0.339028	 P = 1.000000
4330 :	 B-stat = 7.831419	 P = 1.000000
5181 :	 B-stat = 7.883722	 P = 1.000000
8432 :	 B-stat = 1.466847	 P = 1.000000
9161 :	 B-stat = 7.195379	 P = 1.000000
4011 :	 B-stat = 8.226804	 P = 1.000000
8652 :	 B-stat = 5.674168	 P = 1.000000
5245 :	 B-stat = 7.124625	 P = 1.000000
4769 :	 B-stat = 0.995404	 P = 1.000000
1234 :	 B-stat = 11.387953	 P = 1.000000
6165 :	 B-stat = 6.600707	 P = 1.000000
3348 :	 B-stat = 8.342235	 P = 1.000000
3444 :	 B-stat = 1.546397	 P = 1.000000
1567 :	 B-stat = 6.789178	 P = 1.000000
6789 :	 B-stat = 7.828199	 P = 1.000000
4425 :	 B-stat = 0.686055	 P = 1.000000
7595 :	 B-stat = 3.416298	 P = 1.000000
9323 :	 B-stat = 8.061227	 P = 1.000000
354 :	 B-stat = 0.920377	 P = 1.000000
4582 :	 B-stat = 6.648328	 P = 1.000000
4214 :	 B-stat = 7.759833	 P = 1.000000
6117 :	 B-stat = 0.145988	 P = 1.000000
1547 :	 B-stat = 7.550577	 P = 1.000000
2461 :	 B-stat = 0.479811	 P = 1.000000
6085 :	 B-stat = 0.403427	 P = 1.000000
1612 :	 B-stat = 6.971202	 P = 1.000000
4956 :	 B-stat = 6.915749	 P = 1.000000
4955 :	 B-stat = 7.235478	 P = 1.000000
1639 :	 B-stat = 2.642309	 P = 1.000000
6990 :	 B-stat = 4.085316	 P = 1.000000
780 :	 B-stat = 8.066865	 P = 1.000000
2402 :	 B-stat = 7.823810	 P = 1.000000
4001 :	 B-stat = 2.390402	 P = 1.000000
9138 :	 B-stat = 5.948248	 P = 1.000000
7584 :	 B-stat = 6.487796	 P = 1.000000
1828 :	 B-stat = 7.239191	 P = 1.000000
2679 :	 B-stat = 6.935568	 P = 1.000000
6126 :	 B-stat = 6.316907	 P = 1.000000
3700 :	 B-stat = 5.789972	 P = 1.000000
6780 :	 B-stat = 7.847813	 P = 1.000000
1865 :	 B-stat = 6.721305	 P = 1.000000
7149 :	 B-stat = 6.911621	 P = 1.000000
5177 :	 B-stat = 5.524002	 P = 1.000000
7344 :	 B-stat = 5.377842	 P = 1.000000
7113 :	 B-stat = 7.594627	 P = 1.000000
4008 :	 B-stat = 6.532311	 P = 1.000000
8397 :	 B-stat = 7.248130	 P = 1.000000
4959 :	 B-stat = 5.447088	 P = 1.000000
5564 :	 B-stat = 11.116556	 P = 1.000000
79 :	 B-stat = 15.769139	 P = 1.000000
4514 :	 B-stat = 3.377301	 P = 1.000000
732 :	 B-stat = 3.176923	 P = 1.000000
7161 :	 B-stat = 5.277462	 P = 1.000000
8636 :	 B-stat = 8.060590	 P = 1.000000
87 :	 B-stat = 0.930390	 P = 1.000000
7295 :	 B-stat = 4.323762	 P = 1.000000
1101 :	 B-stat = 2.634720	 P = 1.000000
2440 :	 B-stat = 1.235552	 P = 1.000000
7627 :	 B-stat = 2.192797	 P = 1.000000
4026 :	 B-stat = 6.710969	 P = 1.000000
8338 :	 B-stat = 6.162951	 P = 1.000000
2081 :	 B-stat = 2.408403	 P = 1.000000
1836 :	 B-stat = 2.573917	 P = 1.000000
6758 :	 B-stat = 6.157329	 P = 1.000000
1255 :	 B-stat = 6.929918	 P = 1.000000
6915 :	 B-stat = 6.684118	 P = 1.000000
4491 :	 B-stat = 5.656897	 P = 1.000000
5663 :	 B-stat = 7.335892	 P = 1.000000
6395 :	 B-stat = 5.292602	 P = 1.000000
7571 :	 B-stat = 5.594608	 P = 1.000000
6566 :	 B-stat = 5.867365	 P = 1.000000
8404 :	 B-stat = 6.362750	 P = 1.000000
1200 :	 B-stat = 7.044054	 P = 1.000000
5828 :	 B-stat = 0.614873	 P = 1.000000
1189 :	 B-stat = 5.182101	 P = 1.000000
4934 :	 B-stat = 6.020628	 P = 1.000000
2947 :	 B-stat = 6.791955	 P = 1.000000
5203 :	 B-stat = 5.998032	 P = 1.000000
1587 :	 B-stat = 6.552291	 P = 1.000000
5596 :	 B-stat = 7.520412	 P = 1.000000
793 :	 B-stat = 4.108878	 P = 1.000000
2824 :	 B-stat = 6.684029	 P = 1.000000
8344 :	 B-stat = 4.979556	 P = 1.000000
4600 :	 B-stat = 4.626143	 P = 1.000000
2966 :	 B-stat = 5.521008	 P = 1.000000
4611 :	 B-stat = 6.957298	 P = 1.000000
8872 :	 B-stat = 5.945119	 P = 1.000000
7310 :	 B-stat = 5.683157	 P = 1.000000
8145 :	 B-stat = 7.431651	 P = 1.000000
9251 :	 B-stat = 6.035769	 P = 1.000000
7670 :	 B-stat = 5.366476	 P = 1.000000
6148 :	 B-stat = 2.656296	 P = 1.000000
4635 :	 B-stat = 6.227012	 P = 1.000000
3356 :	 B-stat = 6.243556	 P = 1.000000
6970 :	 B-stat = 9.899626	 P = 1.000000
5478 :	 B-stat = 6.042170	 P = 1.000000
3165 :	 B-stat = 2.777266	 P = 1.000000
217 :	 B-stat = 5.785830	 P = 1.000000
123 :	 B-stat = -0.000923	 P = 1.000000
4501 :	 B-stat = 3.412918	 P = 1.000000
1554 :	 B-stat = 6.604653	 P = 1.000000
4227 :	 B-stat = 5.394894	 P = 1.000000
7995 :	 B-stat = 2.253182	 P = 1.000000
6575 :	 B-stat = 5.514717	 P = 1.000000
9310 :	 B-stat = 4.010084	 P = 1.000000
